,week_number,geography_code,functional_class,congestion_pct_x,weighted_avg_tti_x,congestion_pct_y,weighted_avg_tti_y,congestion_pct_xy_pct,weighted_avg_tti_xy_pct,Road,Name,county,county names,weeknum_Friday
33,10,ca_lake,3,0.027516667,1.114316667,0.026649344,1.110901543,1.032545736,1.003074191,Arterial,ca_lake Arterial,lake,Lake,3/1/2020
34,10,ca_lassen,2,0.0015,1.096216667,0.003050116,1.098876235,0.491784617,0.997579738,Freeway,ca_lassen Freeway,lassen,Lassen,3/1/2020
35,10,ca_lassen,3,0.0625625,1.163779167,0.064496759,1.164670062,0.970009978,0.999235067,Arterial,ca_lassen Arterial,lassen,Lassen,3/1/2020
36,10,ca_los_angeles,1,0.255754167,1.617945833,0.230364699,1.536932639,1.110214229,1.05271096,Freeway,ca_los_angeles Freeway,los_angeles,Los Angeles,3/1/2020
37,10,ca_los_angeles,2,0.283904167,1.6161625,0.262042052,1.540661883,1.083429793,1.049005313,Freeway,ca_los_angeles Freeway,los_angeles,Los Angeles,3/1/2020
38,10,ca_los_angeles,3,0.43985,1.532229167,0.379198843,1.475478897,1.159945524,1.038462272,Arterial,ca_los_angeles Arterial,los_angeles,Los Angeles,3/1/2020
39,10,ca_madera,2,0.036216667,1.097633333,0.02616385,1.085957099,1.384225419,1.010752022,Freeway,ca_madera Freeway,madera,Madera,3/1/2020
40,10,ca_madera,3,0.0614,1.060220833,0.066391898,1.071361883,0.924811637,0.98960104,Arterial,ca_madera Arterial,madera,Madera,3/1/2020
41,10,ca_marin,2,0.137816667,1.224404167,0.11140733,1.205066011,1.237052054,1.016047383,Freeway,ca_marin Freeway,marin,Marin,3/1/2020
42,10,ca_marin,3,0.150858333,1.233554167,0.137739198,1.215530671,1.095246205,1.014827676,Arterial,ca_marin Arterial,marin,Marin,3/1/2020
43,10,ca_mariposa,2,0.003408333,1.058779167,0.004431211,1.071389236,0.769165136,0.98823017,Freeway,ca_mariposa Freeway,mariposa,Mariposa,3/1/2020
44,10,ca_mendocino,2,0.000683333,1.021808333,0.00433179,1.030986073,0.157748486,0.991098096,Freeway,ca_mendocino Freeway,mendocino,Mendocino,3/1/2020
45,10,ca_mendocino,3,0.065520833,1.188041667,0.062655864,1.190351659,1.045725475,0.998059403,Arterial,ca_mendocino Arterial,mendocino,Mendocino,3/1/2020
46,10,ca_merced,1,0.0055875,1.070354167,0.001512809,1.069357485,3.693461185,1.000932038,Freeway,ca_merced Freeway,merced,Merced,3/1/2020
47,10,ca_merced,2,0.018545833,1.055395833,0.01842284,1.061579823,1.00667616,0.99417473,Freeway,ca_merced Freeway,merced,Merced,3/1/2020
48,10,ca_merced,3,0.0315375,1.079279167,0.031758333,1.082897029,0.993046445,0.996659089,Arterial,ca_merced Arterial,merced,Merced,3/1/2020
49,10,ca_modoc,2,0.006183333,1.147625,0.007443596,1.149871991,0.830691725,0.998045877,Freeway,ca_modoc Freeway,modoc,Modoc,3/1/2020
50,10,ca_modoc,3,0.258741667,1.272808333,0.25864784,1.276733758,1.00036276,0.996925417,Arterial,ca_modoc Arterial,modoc,Modoc,3/1/2020
51,10,ca_mono,2,0.052141667,1.115779167,0.051034414,1.119041319,1.021696205,0.997084868,Freeway,ca_mono Freeway,mono,Mono,3/1/2020
52,10,ca_mono,3,0.139929167,1.1503875,0.135923573,1.147059954,1.029469459,1.002900935,Arterial,ca_mono Arterial,mono,Mono,3/1/2020
53,10,ca_monterey,2,0.042208333,1.108175,0.038596836,1.097161806,1.093569765,1.010037894,Freeway,ca_monterey Freeway,monterey,Monterey,3/1/2020
54,10,ca_monterey,3,0.184491667,1.239870833,0.178467245,1.238890895,1.033756454,1.00079098,Arterial,ca_monterey Arterial,monterey,Monterey,3/1/2020
55,10,ca_napa,2,0.218125,1.29,0.199457986,1.282649113,1.093588701,1.00573102,Freeway,ca_napa Freeway,napa,Napa,3/1/2020
56,10,ca_napa,3,0.141408333,1.250808333,0.117822608,1.227734838,1.200179963,1.018793549,Arterial,ca_napa Arterial,napa,Napa,3/1/2020
57,10,ca_nevada,1,0.012245833,1.043045833,0.055831327,1.090794637,0.219336239,0.95622567,Freeway,ca_nevada Freeway,nevada,Nevada,3/1/2020
58,10,ca_nevada,3,0.007816667,1.0725875,0.018101929,1.096269907,0.431814016,0.978397284,Arterial,ca_nevada Arterial,nevada,Nevada,3/1/2020
59,10,ca_orange,1,0.17345,1.273604167,0.170671991,1.279389352,1.01627689,0.995478167,Freeway,ca_orange Freeway,orange,Orange,3/1/2020
60,10,ca_orange,2,0.245708333,1.430141667,0.221766975,1.398415316,1.107957274,1.022687359,Freeway,ca_orange Freeway,orange,Orange,3/1/2020
61,10,ca_orange,3,0.405733333,1.4376125,0.352037191,1.397997878,1.152529742,1.028336682,Arterial,ca_orange Arterial,orange,Orange,3/1/2020
62,10,ca_placer,1,0.018608333,1.028670833,0.045724421,1.072287616,0.406967061,0.959323616,Freeway,ca_placer Freeway,placer,Placer,3/1/2020
63,10,ca_placer,2,0.101654167,1.196354167,0.102779552,1.129377199,0.989050489,1.059304338,Freeway,ca_placer Freeway,placer,Placer,3/1/2020
64,10,ca_placer,3,0.0908375,1.133670833,0.081171875,1.139249653,1.119076035,0.995103076,Arterial,ca_placer Arterial,placer,Placer,3/1/2020
65,10,ca_plumas,2,0.00055,1.041870833,0.003790509,1.050014738,0.145099237,0.99224401,Freeway,ca_plumas Freeway,plumas,Plumas,3/1/2020
66,10,ca_plumas,3,0.0292125,1.137191667,0.029894174,1.141689043,0.977197083,0.996060769,Arterial,ca_plumas Arterial,plumas,Plumas,3/1/2020
67,10,ca_riverside,1,0.0763125,1.212529167,0.063968056,1.170567361,1.192978266,1.035847408,Freeway,ca_riverside Freeway,riverside,Riverside,3/1/2020
68,10,ca_riverside,2,0.182066667,1.311279167,0.160301813,1.280027045,1.135774218,1.024415204,Freeway,ca_riverside Freeway,riverside,Riverside,3/1/2020
69,10,ca_riverside,3,0.1598875,1.216704167,0.140638503,1.199495139,1.136868613,1.014346892,Arterial,ca_riverside Arterial,riverside,Riverside,3/1/2020
70,10,ca_sacramento,1,0.1793,1.319341667,0.1508,1.278408025,1.188992042,1.032019231,Freeway,ca_sacramento Freeway,sacramento,Sacramento,3/1/2020
71,10,ca_sacramento,2,0.18285,1.300658333,0.164867052,1.286977083,1.109075448,1.010630531,Freeway,ca_sacramento Freeway,sacramento,Sacramento,3/1/2020
72,10,ca_sacramento,3,0.365825,1.423004167,0.312876543,1.374192052,1.169231149,1.035520591,Arterial,ca_sacramento Arterial,sacramento,Sacramento,3/1/2020
73,10,ca_san_benito,2,0.0095375,1.0073125,0.024285301,1.027946181,0.392727273,0.979927275,Freeway,ca_san_benito Freeway,san_benito,San Benito,3/1/2020
74,10,ca_san_benito,3,0.187958333,1.215258333,0.178906173,1.201289275,1.050597251,1.011628389,Arterial,ca_san_benito Arterial,san_benito,San Benito,3/1/2020
75,10,ca_san_bernardino,1,0.064333333,1.142708333,0.06356277,1.142896065,1.012122871,0.999835741,Freeway,ca_san_bernardino Freeway,san_bernardino,San Bernardino,3/1/2020
76,10,ca_san_bernardino,2,0.080591667,1.175420833,0.071723688,1.131099807,1.123640859,1.03918401,Freeway,ca_san_bernardino Freeway,san_bernardino,San Bernardino,3/1/2020
77,10,ca_san_bernardino,3,0.111070833,1.156458333,0.105346682,1.155554321,1.054336322,1.000782319,Arterial,ca_san_bernardino Arterial,san_bernardino,San Bernardino,3/1/2020
78,10,ca_san_diego,1,0.126420833,1.223154167,0.114206867,1.217767593,1.106945986,1.004423319,Freeway,ca_san_diego Freeway,san_diego,San Diego,3/1/2020
79,10,ca_san_diego,2,0.213045833,1.391654167,0.18472064,1.36029591,1.153340703,1.023052526,Freeway,ca_san_diego Freeway,san_diego,San Diego,3/1/2020
